"Latitude","Longitude","Name","Description","Estilo","Telephone number","Photo./fotos/asd.jpg","WebPage"
-65.409666,-24.789819,Hotel Colonial,Zuviria 6,0387-4310805,2**,./fotos/colonial.jgp,http://www.saltahotelcolonial.com.ar/
-65.410436,-24.79108,Hotel Posada del Sol,0387-4317300,2**,./fotos/posadadelsol.jpg,http://www.hotelposadadelsol.com/
-65.409835,-24.792193,Hotel Marilian, Buenos Aires 176,0387-4213010,1**,./fotos/marilian.jpg, http://www.hotelmarilian.com.ar/
-65.409522,-24.788265,Hotel Plaza, Zuviria 135,0387-4222333,2**,./fotos/plaza.jpg, http://www.plazahotelsalta.com.ar/
-65.430016,-24.788477,Hotel La Beltraneja, Caseros 197,3**, 0387-4212991,./fotos/beltraneja.jpg,http://www.labeltraneja.com.ar/



